DateKey,Date,Year,Month,MonthName,Quarter,YearMonth
20240101,2024-01-01,2024,1,Jan,Q1,2024-01
20240201,2024-02-01,2024,2,Feb,Q1,2024-02
20240301,2024-03-01,2024,3,Mar,Q1,2024-03
20240401,2024-04-01,2024,4,Apr,Q2,2024-04
20240501,2024-05-01,2024,5,May,Q2,2024-05
20240601,2024-06-01,2024,6,Jun,Q2,2024-06
20240701,2024-07-01,2024,7,Jul,Q3,2024-07
20240801,2024-08-01,2024,8,Aug,Q3,2024-08
20240901,2024-09-01,2024,9,Sep,Q3,2024-09
20241001,2024-10-01,2024,10,Oct,Q4,2024-10
20241101,2024-11-01,2024,11,Nov,Q4,2024-11
20241201,2024-12-01,2024,12,Dec,Q4,2024-12
20250101,2025-01-01,2025,1,Jan,Q1,2025-01
20250201,2025-02-01,2025,2,Feb,Q1,2025-02
20250301,2025-03-01,2025,3,Mar,Q1,2025-03
20250401,2025-04-01,2025,4,Apr,Q2,2025-04
20250501,2025-05-01,2025,5,May,Q2,2025-05
20250601,2025-06-01,2025,6,Jun,Q2,2025-06
20250701,2025-07-01,2025,7,Jul,Q3,2025-07
20250801,2025-08-01,2025,8,Aug,Q3,2025-08
20250901,2025-09-01,2025,9,Sep,Q3,2025-09
20251001,2025-10-01,2025,10,Oct,Q4,2025-10
20251101,2025-11-01,2025,11,Nov,Q4,2025-11
20251201,2025-12-01,2025,12,Dec,Q4,2025-12
