DateKey,LocationKey,AssetKey,MetricKey,PlanValue,ActualValue
20240101,1,1,1,11500.0,11745.297249202318
20240101,1,1,2,2.3000000000000003,2.27576991506702
20240101,1,1,3,3680.0,3899.5234775970002
20240101,1,1,4,0.0,1.4405647163912139
20240101,1,2,1,11500.0,9929.41667313366
20240101,1,2,2,2.3000000000000003,1.9083040371856221
20240101,1,2,3,3680.0,3197.723425494122
20240101,1,2,4,0.0,0.1837574076564178
20240101,1,3,1,11500.0,11486.475068209047
20240101,1,3,2,2.3000000000000003,2.2385042068048433
20240101,1,3,3,3680.0,3837.2909484396214
20240101,1,3,4,0.0,1.2777919354289482
20240101,2,4,1,12649.999999999998,12708.470182690453
20240101,2,4,2,2.53,2.6276471041428104
20240101,2,4,3,4301.0,4421.8824472291235
20240101,2,4,4,0.0,0.0
20240101,2,5,1,12649.999999999998,12976.52881930505
20240101,2,5,2,2.53,2.5206479576370837
20240101,2,5,3,4301.0,4605.806804634814
20240101,2,5,4,0.0,0.4500740890137471
20240101,2,6,1,12649.999999999998,12486.30437708067
20240101,2,6,2,2.53,2.4462471141114874
20240101,2,6,3,4301.0,4504.848883767638
20240101,2,6,4,0.0,0.3454705179311979
20240101,3,7,1,10925.0,10597.436298000765
20240101,3,7,2,2.185,2.097096982382026
20240101,3,7,3,3277.5,3263.8475796713637
20240101,3,7,4,0.0,0.8654440643640784
20240101,3,8,1,10925.0,11240.637264718032
20240101,3,8,2,2.185,2.2771836686686084
20240101,3,8,3,3277.5,3733.2934368689866
20240101,3,8,4,0.0,0.09358498361538442
20240101,3,9,1,10925.0,10533.262372942541
20240101,3,9,2,2.185,2.055222384637027
20240101,3,9,3,3277.5,3257.3028049975824
20240101,3,9,4,0.0,1.6289722927208916
20240201,1,1,1,11500.0,11408.272296587826
20240201,1,1,2,2.3000000000000003,2.224146056151983
20240201,1,1,3,3680.0,3500.1526355156657
20240201,1,1,4,0.0,1.150592787824701
20240201,1,2,1,11500.0,12098.31960781877
20240201,1,2,2,2.3000000000000003,2.459091445169597
20240201,1,2,3,3680.0,3742.637488247854
20240201,1,2,4,0.0,0.7321613230667198
20240201,1,3,1,11500.0,11593.932076358287
20240201,1,3,2,2.3000000000000003,2.3339991796897595
20240201,1,3,3,3680.0,3871.7108414092954
20240201,1,3,4,0.0,0.7235955487746822
20240201,2,4,1,12649.999999999998,13251.17796010016
20240201,2,4,2,2.53,2.6556086056770836
20240201,2,4,3,4301.0,4570.530440697943
20240201,2,4,4,0.0,1.1312882258385404
20240201,2,5,1,12649.999999999998,11359.688521517806
20240201,2,5,2,2.53,2.2501495116208794
20240201,2,5,3,4301.0,3771.4582210053572
20240201,2,5,4,0.0,0.0
20240201,2,6,1,12649.999999999998,12406.36153653877
20240201,2,6,2,2.53,2.592553001606242
20240201,2,6,3,4301.0,4035.552086958305
20240201,2,6,4,0.0,1.4682783545914808
20240201,3,7,1,10925.0,9638.025342156812
20240201,3,7,2,2.185,1.9082392859970914
20240201,3,7,3,3277.5,2914.9368751369793
20240201,3,7,4,0.0,1.086222331359278
20240201,3,8,1,10925.0,11468.910526896587
20240201,3,8,2,2.185,2.34837507612293
20240201,3,8,3,3277.5,3380.680708287433
20240201,3,8,4,0.0,0.03764820733543284
20240201,3,9,1,10925.0,11581.137055191408
20240201,3,9,2,2.185,2.3029342814040525
20240201,3,9,3,3277.5,3252.7326443072766
20240201,3,9,4,0.0,0.0
20240301,1,1,1,10000.0,9356.383399798871
20240301,1,1,2,2.0,1.899186439155952
20240301,1,1,3,3200.0,3015.3641246184347
20240301,1,1,4,0.0,1.1904853540677682
20240301,1,2,1,10000.0,9700.923147564426
20240301,1,2,2,2.0,1.9494125176667283
20240301,1,2,3,3200.0,3201.3962765603237
20240301,1,2,4,0.0,0.1906534602797616
20240301,1,3,1,10000.0,10319.742666290189
20240301,1,3,2,2.0,2.0229631010023392
20240301,1,3,3,3200.0,3242.371696883927
20240301,1,3,4,0.0,0.11826210600167092
20240301,2,4,1,11000.0,10079.203472896439
20240301,2,4,2,2.2,2.045290462896522
20240301,2,4,3,3740.0000000000005,3346.49875192632
20240301,2,4,4,0.0,0.5124941187276875
20240301,2,5,1,11000.0,11370.17492735755
20240301,2,5,2,2.2,2.304497810963385
20240301,2,5,3,3740.0000000000005,3994.473741713918
20240301,2,5,4,0.0,0.4015145154905764
20240301,2,6,1,11000.0,10674.060299726001
20240301,2,6,2,2.2,2.1297065580039933
20240301,2,6,3,3740.0000000000005,3322.998440511016
20240301,2,6,4,0.0,0.0
20240301,3,7,1,9500.0,8620.404757784323
20240301,3,7,2,1.9000000000000001,1.672500923772818
20240301,3,7,3,2850.0,2637.8146620265907
20240301,3,7,4,0.0,0.0
20240301,3,8,1,9500.0,9248.521901563805
20240301,3,8,2,1.9000000000000001,1.9218000285159964
20240301,3,8,3,2850.0,2725.1328433826457
20240301,3,8,4,0.0,1.2375155684670864
20240301,3,9,1,9500.0,8879.144242793433
20240301,3,9,2,1.9000000000000001,1.764884190303523
20240301,3,9,3,2850.0,2537.212529947238
20240301,3,9,4,0.0,0.16096692409943752
20240401,1,1,1,10000.0,10588.215696220177
20240401,1,1,2,2.0,2.007907691940554
20240401,1,1,3,3200.0,3461.8253626528794
20240401,1,1,4,0.0,0.7377356023322779
20240401,1,2,1,10000.0,9584.095031012244
20240401,1,2,2,2.0,1.8336640708216454
20240401,1,2,3,3200.0,3077.9711468274363
20240401,1,2,4,0.0,0.0
20240401,1,3,1,10000.0,10162.873347948294
20240401,1,3,2,2.0,2.0339071531136734
20240401,1,3,3,3200.0,3512.5782874060383
20240401,1,3,4,0.0,0.2606443725269757
20240401,2,4,1,11000.0,10211.906930681163
20240401,2,4,2,2.2,2.053365862730909
20240401,2,4,3,3740.0000000000005,3510.240312681824
20240401,2,4,4,0.0,1.8591875752404365
20240401,2,5,1,11000.0,11643.035659354224
20240401,2,5,2,2.2,2.3535375066756603
20240401,2,5,3,3740.0000000000005,4248.26601580983
20240401,2,5,4,0.0,0.0
20240401,2,6,1,11000.0,10507.391319782693
20240401,2,6,2,2.2,2.043062887933475
20240401,2,6,3,3740.0000000000005,3502.883018311349
20240401,2,6,4,0.0,0.0
20240401,3,7,1,9500.0,9922.37537963158
20240401,3,7,2,1.9000000000000001,1.9712452138153869
20240401,3,7,3,2850.0,2757.8042314177687
20240401,3,7,4,0.0,0.0
20240401,3,8,1,9500.0,9708.48670855438
20240401,3,8,2,1.9000000000000001,1.9905189855778092
20240401,3,8,3,2850.0,3203.3245424045576
20240401,3,8,4,0.0,3.4138624660073296
20240401,3,9,1,9500.0,9775.582273128539
20240401,3,9,2,1.9000000000000001,1.8970765867970973
20240401,3,9,3,2850.0,2620.0447745274623
20240401,3,9,4,0.0,0.7677114623438358
20240501,1,1,1,10000.0,9430.94123328277
20240501,1,1,2,2.0,1.8626849871871225
20240501,1,1,3,3200.0,2925.53881159427
20240501,1,1,4,0.0,0.35920911358361474
20240501,1,2,1,10000.0,10746.18616155135
20240501,1,2,2,2.0,2.159363271163306
20240501,1,2,3,3200.0,3411.50405984803
20240501,1,2,4,0.0,0.0
20240501,1,3,1,10000.0,8827.721938706949
20240501,1,3,2,2.0,1.7397864417540296
20240501,1,3,3,3200.0,2817.274581925768
20240501,1,3,4,0.0,2.267929913579883
20240501,2,4,1,11000.0,11100.311381534122
20240501,2,4,2,2.2,2.2855145637825798
20240501,2,4,3,3740.0000000000005,3679.8861472629633
20240501,2,4,4,0.0,0.0
20240501,2,5,1,11000.0,10256.860093081074
20240501,2,5,2,2.2,2.006740764937421
20240501,2,5,3,3740.0000000000005,3858.466508032633
20240501,2,5,4,0.0,0.0
20240501,2,6,1,11000.0,11645.636686876986
20240501,2,6,2,2.2,2.2660363661511456
20240501,2,6,3,3740.0000000000005,4143.945408077134
20240501,2,6,4,0.0,0.8849509661058632
20240501,3,7,1,9500.0,9395.835798057371
20240501,3,7,2,1.9000000000000001,1.876869171597779
20240501,3,7,3,2850.0,2726.4665743845667
20240501,3,7,4,0.0,0.9460722014820806
20240501,3,8,1,9500.0,9197.43598557338
20240501,3,8,2,1.9000000000000001,1.7718526137798818
20240501,3,8,3,2850.0,2582.9245601715597
20240501,3,8,4,0.0,0.6725879177221195
20240501,3,9,1,9500.0,10550.095685512939
20240501,3,9,2,1.9000000000000001,2.120146698095064
20240501,3,9,3,2850.0,3146.254020267456
20240501,3,9,4,0.0,0.7858261396025429
20240601,1,1,1,9500.0,10368.491158235038
20240601,1,1,2,1.9000000000000001,2.0873462248009833
20240601,1,1,3,3040.0,3249.74604488197
20240601,1,1,4,0.0,1.6062887100598888
20240601,1,2,1,9500.0,9785.123031576974
20240601,1,2,2,1.9000000000000001,2.047189974284369
20240601,1,2,3,3040.0,3159.9269142940416
20240601,1,2,4,0.0,0.0
20240601,1,3,1,9500.0,8590.174132501632
20240601,1,3,2,1.9000000000000001,1.8031253770087903
20240601,1,3,3,3040.0,2985.761141404562
20240601,1,3,4,0.0,0.3204807867173993
20240601,2,4,1,10450.0,10169.698474589024
20240601,2,4,2,2.0900000000000003,2.123114381654879
20240601,2,4,3,3553.0000000000005,3266.3060280326417
20240601,2,4,4,0.0,0.0
20240601,2,5,1,10450.0,10920.593550315038
20240601,2,5,2,2.0900000000000003,2.1582627771052776
20240601,2,5,3,3553.0000000000005,3712.050932087744
20240601,2,5,4,0.0,0.33655710147548745
20240601,2,6,1,10450.0,10696.93578244642
20240601,2,6,2,2.0900000000000003,2.2297216150018704
20240601,2,6,3,3553.0000000000005,3653.43084187556
20240601,2,6,4,0.0,1.1439387932768579
20240601,3,7,1,9025.0,7729.803775173652
20240601,3,7,2,1.8050000000000002,1.5437012529117713
20240601,3,7,3,2707.5,2221.1710646523375
20240601,3,7,4,0.0,0.0
20240601,3,8,1,9025.0,8470.227242192761
20240601,3,8,2,1.8050000000000002,1.677064839620477
20240601,3,8,3,2707.5,2657.436712639691
20240601,3,8,4,0.0,0.0
20240601,3,9,1,9025.0,9044.351445446522
20240601,3,9,2,1.8050000000000002,1.782596298004035
20240601,3,9,3,2707.5,2668.8515742645586
20240601,3,9,4,0.0,1.5027578253046041
20240701,1,1,1,9500.0,9857.846765607612
20240701,1,1,2,1.9000000000000001,2.050672546768227
20240701,1,1,3,3040.0,3130.1414720270495
20240701,1,1,4,0.0,0.0
20240701,1,2,1,9500.0,9351.133886774469
20240701,1,2,2,1.9000000000000001,1.8838324971286362
20240701,1,2,3,3040.0,3018.7814216196393
20240701,1,2,4,0.0,0.0
20240701,1,3,1,9500.0,9560.175704782536
20240701,1,3,2,1.9000000000000001,1.9251265585781296
20240701,1,3,3,3040.0,3444.3361316272526
20240701,1,3,4,0.0,2.37684461128167
20240701,2,4,1,10450.0,9825.852489066223
20240701,2,4,2,2.0900000000000003,1.9482277787028797
20240701,2,4,3,3553.0000000000005,3096.337237264495
20240701,2,4,4,0.0,0.0
20240701,2,5,1,10450.0,10680.865060126334
20240701,2,5,2,2.0900000000000003,2.2134503708670983
20240701,2,5,3,3553.0000000000005,3499.110936939159
20240701,2,5,4,0.0,0.0
20240701,2,6,1,10450.0,8879.258074746174
20240701,2,6,2,2.0900000000000003,1.7671854988183286
20240701,2,6,3,3553.0000000000005,2858.579065744777
20240701,2,6,4,0.0,0.0
20240701,3,7,1,9025.0,8471.043203392626
20240701,3,7,2,1.8050000000000002,1.689417627661312
20240701,3,7,3,2707.5,2317.96606387261
20240701,3,7,4,0.0,0.0
20240701,3,8,1,9025.0,10370.151863023877
20240701,3,8,2,1.8050000000000002,1.9939257665265882
20240701,3,8,3,2707.5,2940.4380637609265
20240701,3,8,4,0.0,2.336913528321314
20240701,3,9,1,9025.0,10860.276184167627
20240701,3,9,2,1.8050000000000002,2.095714013890341
20240701,3,9,3,2707.5,3198.0935746215437
20240701,3,9,4,0.0,0.8415555509405095
20240801,1,1,1,9500.0,10649.58393352972
20240801,1,1,2,1.9000000000000001,2.0668590829832274
20240801,1,1,3,3040.0,3366.073146611177
20240801,1,1,4,0.0,1.277337576061744
20240801,1,2,1,9500.0,9789.119439520302
20240801,1,2,2,1.9000000000000001,1.935730467649028
20240801,1,2,3,3040.0,3111.558076912125
20240801,1,2,4,0.0,0.0
20240801,1,3,1,9500.0,9341.614460256847
20240801,1,3,2,1.9000000000000001,1.8533919566791743
20240801,1,3,3,3040.0,3024.0180928528935
20240801,1,3,4,0.0,0.0
20240801,2,4,1,10450.0,10794.930429241771
20240801,2,4,2,2.0900000000000003,2.224579266636101
20240801,2,4,3,3553.0000000000005,3698.799775182566
20240801,2,4,4,0.0,0.8517564083992035
20240801,2,5,1,10450.0,10488.88313675321
20240801,2,5,2,2.0900000000000003,2.0977819384862824
20240801,2,5,3,3553.0000000000005,3437.558522362413
20240801,2,5,4,0.0,0.816494261673308
20240801,2,6,1,10450.0,10378.834853260532
20240801,2,6,2,2.0900000000000003,2.206114859842922
20240801,2,6,3,3553.0000000000005,3806.406891980673
20240801,2,6,4,0.0,0.8858465525565008
20240801,3,7,1,9025.0,8542.93860777533
20240801,3,7,2,1.8050000000000002,1.6515681440846302
20240801,3,7,3,2707.5,2715.5194991524345
20240801,3,7,4,0.0,0.7627492251471385
20240801,3,8,1,9025.0,9328.33059509265
20240801,3,8,2,1.8050000000000002,1.7680216699901623
20240801,3,8,3,2707.5,2928.2709699665766
20240801,3,8,4,0.0,0.954420338214363
20240801,3,9,1,9025.0,8323.485415121153
20240801,3,9,2,1.8050000000000002,1.641148703878166
20240801,3,9,3,2707.5,2529.971319099016
20240801,3,9,4,0.0,0.5524667983562437
20240901,1,1,1,10000.0,9795.480169937511
20240901,1,1,2,2.0,1.9530137303215345
20240901,1,1,3,3200.0,3095.0618237960293
20240901,1,1,4,0.0,0.6525625121024685
20240901,1,2,1,10000.0,11030.04438109521
20240901,1,2,2,2.0,2.0361467371315327
20240901,1,2,3,3200.0,3487.8146990830114
20240901,1,2,4,0.0,0.6765124213724469
20240901,1,3,1,10000.0,10207.195792780969
20240901,1,3,2,2.0,2.0186619288577745
